make,total_sales,unique_models,average_selling_price,average_mmr,average_price_difference,average_price_difference_percentage,average_odometer,average_vehicle_condition,minimum_selling_price,maximum_selling_price,sales_above_mmr,sales_below_mmr,sales_above_mmr_percentage
AUDI,5865,29,19896.72,20062.63,-165.9,-1.19,66179.86,31.54,150,120000,2868,2885,48.9
LINCOLN,5786,18,16839.7,17056.15,-216.45,0.67,62500.56,32.79,200,59000,2643,3032,45.68
BUICK,5121,19,10709.56,10896.49,-186.93,-1.94,79033.15,27.76,100,41000,2375,2653,46.38
SUBARU,5103,13,15245.86,15333.39,-87.53,-0.53,57566.23,32.48,250,37600,2445,2540,47.91
RAM,4574,8,25299.94,25528.32,-228.38,-0.92,40495.24,32.72,3000,54000,2187,2255,47.81
PONTIAC,4524,23,3752.23,3948.1,-195.87,-4.31,117862.55,23.22,100,30000,1908,2579,42.18
MITSUBISHI,4257,19,8185.24,8303.69,-118.44,0.42,75314.09,28.63,100,34400,2043,2122,47.99
VOLVO,3788,18,11463.95,11573.32,-109.36,0.04,83891.38,30.69,200,34700,1759,1948,46.44
MINI,3224,6,12313.66,12412.31,-98.65,-0.78,48127.12,34.79,1100,34750,1565,1601,48.54
SATURN,2841,12,3385.43,3510.79,-125.36,-0.6,117262.35,24.71,150,15050,1279,1524,45.02
MERCURY,2023,19,3907.27,4072.58,-165.31,-1.44,113768.75,24.19,100,18300,861,1136,42.56
LAND ROVER,1864,14,31617.81,31920.44,-302.63,-0.16,61452.69,34.55,200,135000,883,945,47.37
SCION,1687,6,9578.81,9672.75,-93.94,-1.09,63415.94,30.25,800,24100,820,839,48.61
JAGUAR,1420,8,19782.52,20135.76,-353.24,0.01,68766.01,29.7,250,95250,623,780,43.87
PORSCHE,1402,8,39842.94,40108.4,-265.46,-0.26,50900.85,35.33,1250,157000,665,712,47.43
SUZUKI,1078,16,3907.35,3892.16,15.19,2.73,91935.99,25.03,200,14900,550,514,51.02
FIAT,865,3,10367.49,10535.84,-168.35,-1.55,25357.86,25.36,2000,22500,433,408,50.06
HUMMER,805,5,15269.49,15016.86,252.62,1.6,103136.09,32.35,3600,50000,442,353,54.91
SAAB,484,4,3628.1,3768.65,-140.55,8.2,104356.16,24.94,200,17750,215,267,44.42
SMART,396,2,6236.87,6354.61,-117.74,-1.41,28963.5,37.42,1600,11000,186,203,46.97
OLDSMOBILE,384,16,939.45,1087.11,-147.66,5.56,139437.72,15.81,200,5000,147,225,38.28
ISUZU,204,7,1709.2,1750.86,-41.66,3.09,140132.23,18.26,1,7900,88,114,43.14
MASERATI,136,8,44947.06,45680.15,-733.09,-1.51,29647.38,32.66,1200,95000,54,78,39.71
BENTLEY,116,8,74367.67,75928.45,-1560.78,-1.25,39239.7,34.25,22700,163000,56,57,48.28
MERCEDES,70,13,7471.43,7581.43,-110.0,22.12,118177.43,26.09,200,39000,34,36,48.57
LANDROVER,27,4,11516.67,11319.44,197.22,1.7,99271.04,31.0,2200,20000,13,14,48.15
PLYMOUTH,27,6,7287.96,8437.96,-1150.0,-3.48,97360.3,25.14,300,26500,10,17,37.04
ASTON MARTIN,25,3,54812.0,53560.0,1252.0,2.16,26603.64,35.92,38300,103000,14,11,56.0
VW,24,3,13672.92,13847.92,-175.0,0.47,67813.58,28.67,500,25000,9,15,37.5
TESLA,23,1,67054.35,67813.04,-758.7,-0.99,17307.91,34.96,49250,85750,10,13,43.48
GEO,19,2,528.95,609.21,-80.26,-11.32,177356.74,5.89,150,1600,8,11,42.11
FERRARI,19,4,127210.53,129210.53,-2000.0,-1.45,15218.79,37.58,81000,183000,8,9,42.11
ROLLS-ROYCE,17,1,153488.24,154294.12,-805.88,-0.38,13824.12,35.06,140000,171500,7,10,41.18
GMC TRUCK,11,5,6920.45,6490.91,429.55,18.42,152146.73,25.83,300,21425,6,4,54.55
FISKER,9,1,46461.11,49100.0,-2638.89,-5.46,18165.67,35.11,37000,54500,3,6,33.33
LAMBORGHINI,4,1,112625.0,111500.0,1125.0,1.19,16759.5,43.75,107000,117500,1,3,25.0
DAEWOO,3,2,400.0,633.33,-233.33,-27.08,78270.67,18.0,300,600,1,2,33.33
FORD TRUCK,3,2,483.33,550.0,-66.67,-9.13,194084.67,1.33,350,700,1,1,33.33
MERCEDES-B,2,2,13650.0,14100.0,-450.0,-3.75,74453.5,26.0,8800,18500,0,2,0.0
AIRSTREAM,1,1,71000.0,29500.0,41500.0,140.68,51971.0,4.0,71000,71000,1,0,100.0
CHEV TRUCK,1,1,2000.0,1925.0,75.0,3.9,136490.0,,2000,2000,1,0,100.0
FORD TK,1,1,2800.0,3475.0,-675.0,-19.42,108474.0,19.0,2800,2800,0,1,0.0
DOT,1,1,500.0,850.0,-350.0,-41.18,191734.0,19.0,500,500,0,1,0.0
HYUNDAI TK,1,1,2100.0,1875.0,225.0,12.0,131532.0,,2100,2100,1,0,100.0
DODGE TK,1,1,550.0,625.0,-75.0,-12.0,246997.0,19.0,550,550,0,1,0.0
LOTUS,1,1,40800.0,40300.0,500.0,1.24,16932.0,27.0,40800,40800,1,0,100.0
MAZDA TK,1,1,6500.0,5375.0,1125.0,20.93,103395.0,,6500,6500,1,0,100.0
